iter	RMSE
938	84209.57707
939	84194.04023
940	84177.17903
941	84152.65333
942	84136.08392
943	84125.63001
944	84106.33785
945	84081.90851
946	84069.4141
947	84051.95671
948	84024.52616
949	84014.80194
950	83997.05716
951	83973.50912
952	83951.31287
953	83937.76766
954	83920.70199
955	83902.16919
956	83889.93091
957	83881.38777
958	83866.37218
959	83836.68357
960	83814.34861
961	83788.99022
962	83767.15951
963	83753.93718
964	83745.22003
965	83732.66719
966	83719.13398
967	83695.34141
968	83685.694
969	83672.42407
970	83652.12496
971	83637.41599
972	83620.97825
973	83608.48174
974	83586.20226
975	83553.12638
976	83544.20055
977	83523.79958
978	83503.76609
979	83472.88688
980	83452.99681
981	83436.97228
982	83416.50157
983	83391.51227
984	83375.08147
985	83357.91623
986	83330.26629
987	83299.22231
988	83277.96743
989	83261.16554
990	83248.41574
991	83236.96489
992	83200.44689
993	83182.56318
994	83162.3797
995	83141.5374
996	83129.33808
997	83114.18268
998	83106.31791
999	83095.76414
